Timestamp,How many tickets do you need? ,What's your ZIP code?
8/17/2015 19:23:33,2,11211
8/17/2015 19:28:10,2,45214
8/17/2015 19:28:32,1,44121
8/17/2015 19:28:55,3,7701
8/17/2015 19:31:10,1,13502
8/17/2015 19:31:55,1,80401
8/17/2015 19:32:19,1,12203
8/17/2015 19:32:53,4,7003
8/17/2015 19:33:28,3,10012
8/17/2015 19:35:12,1,44122
8/17/2015 19:35:38,4,29212
8/17/2015 19:41:19,2,5261
8/17/2015 19:44:18,4,12345
8/17/2015 19:54:39,1,28117
